id,primary,seeds,rhos,branches,difference_pp,ci95_low,ci95_high,simultaneous95_low,simultaneous95_high,bootstrap_sd_pp,classification,zero_variance
svd_geometry_seeds[3416]_rhos[0.0625]_branches[1],False,[3416],[0.0625],['oct'],4.078787339084698,-0.9515772227282908,9.33073836121391,,,2.613066962713419,secondary_no_simultaneous_classification,False
"svd_geometry_seeds[3416]_rhos[0.0625]_branches[0, 1]",False,[3416],[0.0625],"['cfp', 'oct']",3.380387723469113,-0.29075070147179716,7.10833543390305,,,1.887866343115223,secondary_no_simultaneous_classification,False
svd_geometry_seeds[3416]_rhos[0.125]_branches[0],False,[3416],[0.125],['cfp'],2.70699141107211,-1.6806225658525,7.03946539248461,,,2.197158893843823,secondary_no_simultaneous_classification,False
svd_geometry_seeds[3416]_rhos[0.125]_branches[1],False,[3416],[0.125],['oct'],5.812306960737288,-0.36774449304828655,12.217311238734526,,,3.208364385438529,secondary_no_simultaneous_classification,False
"svd_geometry_seeds[3416]_rhos[0.125]_branches[0, 1]",False,[3416],[0.125],"['cfp', 'oct']",4.259649185904699,0.13015543128196938,8.394243652660842,,,2.1005414334688797,secondary_no_simultaneous_classification,False
svd_geometry_seeds[3416]_rhos[0.25]_branches[0],False,[3416],[0.25],['cfp'],3.7756305827251566,-1.3670600544705014,8.998660636540148,,,2.6184724562763066,secondary_no_simultaneous_classification,False
svd_geometry_seeds[3416]_rhos[0.25]_branches[1],False,[3416],[0.25],['oct'],3.368331444956837,-2.240774834192051,8.98369182668585,,,2.893549520308537,secondary_no_simultaneous_classification,False
"svd_geometry_seeds[3416]_rhos[0.25]_branches[0, 1]",False,[3416],[0.25],"['cfp', 'oct']",3.571981013840997,-0.5522546873087133,7.866038575964297,,,2.1560113310009994,secondary_no_simultaneous_classification,False
"svd_geometry_seeds[3417]_rhos[0.0625, 0.125, 0.25]_branches[0]",False,[3417],"[0.0625, 0.125, 0.25]",['cfp'],4.953908047609303,1.1995244056061303,8.71107793927231,,,1.8789517366325748,secondary_no_simultaneous_classification,False
"svd_geometry_seeds[3417]_rhos[0.0625, 0.125, 0.25]_branches[1]",False,[3417],"[0.0625, 0.125, 0.25]",['oct'],4.207667240937283,-0.16885412408805414,8.637431917648078,,,2.2509821236291003,secondary_no_simultaneous_classification,False
"svd_geometry_seeds[3417]_rhos[0.0625, 0.125, 0.25]_branches[0, 1]",False,[3417],"[0.0625, 0.125, 0.25]","['cfp', 'oct']",4.580787644273293,1.5970368816114628,7.516236073998684,,,1.5120611070397307,secondary_no_simultaneous_classification,False
